149,"Elk Grove, California, US",174775
150,"Salem, Oregon, US",174365
151,"Pembroke Pines, Florida, US",173591
152,"Eugene, Oregon, US",172622
153,"Garden Grove, California, US",171644
154,"Cary town, North Carolina, US",170282
155,"Fort Collins, Colorado, US",170243
156,"Corona, California, US",169868
157,"Springfield, Missouri, US",167882
158,"Jackson, Mississippi, US",160628
159,"Alexandria, Virginia, US",159428
160,"Hayward, California, US",159203
161,"Clarksville, Tennessee, US",158146
162,"Lakewood, Colorado, US",157935
163,"Lancaster, California, US",157601
164,"Salinas, California, US",155465
165,"Palmdale, California, US",155079
166,"Hollywood, Florida, US",154817
167,"Springfield, Massachusetts, US",153606
168,"Macon-Bibb County, Georgia, US",153159
169,"Kansas, Kansas, US",152960
170,"Sunnyvale, California, US",152703
171,"Pomona, California, US",151691
172,"Killeen, Texas, US",151666
173,"Escondido, California, US",151625
174,"Pasadena, Texas, US",151227
175,"Naperville, Illinois, US",148449
176,"Bellevue, Washington, US",148164
177,"Joliet, Illinois, US",147344
178,"Murfreesboro, Tennessee, US",146900
179,"Midland, Texas, US",146038
180,"Rockford, Illinois, US",145609
181,"Paterson, New Jersey, US",145233
182,"Savannah, Georgia, US",144464
183,"Bridgeport, Connecticut, US",144399
184,"Torrance, California, US",143592
185,"McAllen, Texas, US",143268
186,"Syracuse, New York, US",142327
187,"Surprise, Arizona, US",141664
188,"Denton, Texas, US",141541
189,"Roseville, California, US",141500
190,"Thornton, Colorado, US",141464
191,"Miramar, Florida, US",141191
192,"Pasadena, California, US",141029
193,"Mesquite, Texas, US",140937
194,"Olathe, Kansas, US",140545
195,"Dayton, Ohio, US",140407
196,"Carrollton, Texas, US",139248
197,"Waco, Texas, US",139236
198,"Orange, California, US",138669
199,"Fullerton, California, US",138632
200,"Charleston, South Carolina, US",137566
201,"West Valley, Utah, US",135248
202,"Visalia, California, US",134605
203,"Hampton, Virginia, US",134510
204,"Gainesville, Florida, US",133997
205,"Warren, Michigan, US",133943
206,"Coral Springs, Florida, US",133759
207,"Cedar Rapids, Iowa, US",133562
208,"Round Rock, Texas, US",133372
209,"Sterling Heights, Michigan, US",132438
210,"Kent, Washington, US",132319
211,"Columbia, South Carolina, US",131674
212,"Santa Clara, California, US",130365
213,"New Haven, Connecticut, US",130250
214,"Stamford, Connecticut, US",129638
215,"Concord, California, US",129295
216,"Elizabeth, New Jersey, US",129216
217,"Athens-Clarke County unified government (balance), Georgia, US",126913
218,"Thousand Oaks, California, US",126813
219,"Lafayette, Louisiana, US",126185
220,"Simi Valley, California, US",125613
221,"Topeka, Kansas, US",125310
222,"Norman, Oklahoma, US",124880
223,"Fargo, North Dakota, US",124662
224,"Wilmington, North Carolina, US",123744
225,"Abilene, Texas, US",123420
226,"Odessa, Texas, US",123334
227,"Columbia, Missouri, US",123195
228,"Pearland, Texas, US",122460
229,"Victorville, California, US",122385
230,"Hartford, Connecticut, US",122105
231,"Vallejo, California, US",121692
232,"Allentown, Pennsylvania, US",121442
233,"Berkeley, California, US",121363
234,"Richardson, Texas, US",121323
235,"Arvada, Colorado, US",121272
236,"Ann Arbor, Michigan, US",119980
237,"Rochester, Minnesota, US",118935
238,"Cambridge, Massachusetts, US",118927
239,"Sugar Land, Texas, US",118488
240,"Lansing, Michigan, US",118210
241,"Evansville, Indiana, US",117979
242,"College Station, Texas, US",117911
243,"Fairfield, California, US",117133
244,"Clearwater, Florida, US",116946
245,"Beaumont, Texas, US",116825
246,"Independence, Missouri, US",116672
247,"Provo, Utah, US",116618
248,"West Jordan, Utah, US",116480
249,"Murrieta, California, US",116223
250,"Palm Bay, Florida, US",115552
251,"El Monte, California, US",115487
252,"Carlsbad, California, US",115382
252,"North Charleston, South Carolina, US",115382
254,"Temecula, California, US",114761
255,"Clovis, California, US",114584
256,"Springfield, Illinois, US",114230
257,"Meridian, Idaho, US",114161
258,"Westminster, Colorado, US",113166
259,"Costa Mesa, California, US",113003
260,"High Point, North Carolina, US",112791
261,"Manchester, New Hampshire, US",112673
262,"Pueblo, Colorado, US",112361
263,"Lakeland, Florida, US",112136
264,"Pompano Beach, Florida, US",112118
265,"West Palm Beach, Florida, US",111955
266,"Antioch, California, US",111502
267,"Everett, Washington, US",111475
268,"Downey, California, US",111126
269,"Lowell, Massachusetts, US",110997
270,"Centennial, Colorado, US",110937
271,"Elgin, Illinois, US",110849
272,"Richmond, California, US",110567
273,"Peoria, Illinois, US",110417
274,"Broken Arrow, Oklahoma, US",110198
275,"Miami Gardens, Florida, US",110001
276,"Billings, Montana, US",109577
277,"Jurupa Valley, California, US",109527
278,"Sandy Springs, Georgia, US",109452
279,"Gresham, Oregon, US",109381
280,"Lewisville, Texas, US",109212
281,"Hillsboro, Oregon, US",109128
282,"San Buenaventura (Ventura), California, US",109106
283,"Greeley, Colorado, US",108649
284,"Inglewood, California, US",108151
285,"Waterbury, Connecticut, US",107568
286,"League, Texas, US",107536
287,"Santa Maria, California, US",107263
288,"Tyler, Texas, US",106985
289,"Davie town, Florida, US",106306
290,"Daly, California, US",106280
291,"Boulder, Colorado, US",105673
292,"Allen, Texas, US",105623
293,"West Covina, California, US",105101
294,"Sparks, Nevada, US",105006
295,"Wichita Falls, Texas, US",104683
296,"Green Bay, Wisconsin, US",104578
297,"San Mateo, California, US",104430
298,"Norwalk, California, US",103949
299,"Rialto, California, US",103526
300,"Las Cruces, New Mexico, US",103432
301,"Chico, California, US",103301
302,"El Cajon, California, US",102708
303,"Burbank, California, US",102511
304,"South Bend, Indiana, US",102026
305,"Renton, Washington, US",101751
306,"Vista, California, US",101638
